user_id,event,timestamp
1,email_verified,2024-02-22
1,business_info_submitted,2024-02-25
2,email_verified,2024-01-18
3,email_verified,2024-03-13
3,business_info_submitted,2024-03-15
4,email_verified,2024-03-04
4,business_info_submitted,2024-03-06
5,email_verified,2024-01-24
5,business_info_submitted,2024-01-26
6,email_verified,2024-03-24
6,business_info_submitted,2024-03-25
6,kyc_completed,2024-03-26
7,email_verified,2024-03-28
7,business_info_submitted,2024-03-29
7,kyc_completed,2024-04-02
8,email_verified,2024-03-18
8,business_info_submitted,2024-03-20
8,kyc_completed,2024-03-23
8,first_payment,2024-03-26
9,email_verified,2024-03-16
9,business_info_submitted,2024-03-17
10,email_verified,2024-03-29
10,business_info_submitted,2024-04-01
10,kyc_completed,2024-04-05
10,first_payment,2024-04-09
11,email_verified,2024-01-26
11,business_info_submitted,2024-01-30
12,email_verified,2024-01-04
12,business_info_submitted,2024-01-06
12,kyc_completed,2024-01-07
12,first_payment,2024-01-08
13,email_verified,2024-01-24
14,email_verified,2024-02-24
15,email_verified,2024-01-03
15,business_info_submitted,2024-01-05
16,email_verified,2024-04-01
16,business_info_submitted,2024-04-02
16,kyc_completed,2024-04-04
16,first_payment,2024-04-08
17,email_verified,2024-02-03
17,business_info_submitted,2024-02-06
18,email_verified,2024-02-09
18,business_info_submitted,2024-02-11
19,email_verified,2024-01-03
19,business_info_submitted,2024-01-04
19,kyc_completed,2024-01-07
20,email_verified,2024-03-07
20,business_info_submitted,2024-03-10
20,kyc_completed,2024-03-13
20,first_payment,2024-03-15
21,email_verified,2024-03-04
21,business_info_submitted,2024-03-08
22,email_verified,2024-01-22
22,business_info_submitted,2024-01-26
22,kyc_completed,2024-01-28
23,email_verified,2024-02-06
24,email_verified,2024-03-18
24,business_info_submitted,2024-03-21
24,kyc_completed,2024-03-25
25,email_verified,2024-02-29
26,email_verified,2024-01-23
26,business_info_submitted,2024-01-27
26,kyc_completed,2024-01-28
26,first_payment,2024-01-30
27,email_verified,2024-03-30
28,email_verified,2024-02-19
28,business_info_submitted,2024-02-22
28,kyc_completed,2024-02-24
29,email_verified,2024-02-29
29,business_info_submitted,2024-03-04
29,kyc_completed,2024-03-06
29,first_payment,2024-03-08
30,email_verified,2024-02-14
30,business_info_submitted,2024-02-18
31,email_verified,2024-03-04
31,business_info_submitted,2024-03-05
31,kyc_completed,2024-03-08
31,first_payment,2024-03-09
32,email_verified,2024-03-23
32,business_info_submitted,2024-03-26
33,email_verified,2024-01-16
33,business_info_submitted,2024-01-18
33,kyc_completed,2024-01-19
33,first_payment,2024-01-20
34,email_verified,2024-03-04
34,business_info_submitted,2024-03-06
34,kyc_completed,2024-03-09
36,email_verified,2024-02-20
37,email_verified,2024-03-05
37,business_info_submitted,2024-03-09
37,kyc_completed,2024-03-13
37,first_payment,2024-03-17
38,email_verified,2024-02-23
38,business_info_submitted,2024-02-27
40,email_verified,2024-03-06
40,business_info_submitted,2024-03-10
